country_id,country
1,BOONVILLE STAGE LINE
2,S.A.
3,ACOM
4,ACTIVE AERO
5,AEROCENTER
6,AEROCESAR
7,AEROPERLAS
8,AEROPUMA
9,AEROSOL
10,AEROSUN
11,AEROVARADERO
12,AEROWEE
13,AFGHANISTAN
14,AIR CLASS
15,AIR FREIGHTER
16,AIR PRINT
17,AIR S
18,AIR-MAUR
19,AIREX
20,AIRFLIGHT
21,AIRMAN
22,AIRNAT
23,AIRPAC
24,AIRPORT HELICOPTER
25,AIRWAVE
26,ALAMO
27,ALASKA
28,ALASKA PACIFIC
29,ALBANIA
30,ALCON
31,ALDAWLYH AIR
32,ALGERIA
33,ALL STAR
34,ALNACIONAL
35,AMERICAN SAMOA
36,ANGOLA
37,ANTARES
38,ANTIGUA AND BARBUDA
39,APPALACHIAN
40,AQUILINE
41,ARGENTINA
42,ARIZAIR
43,ARMENIA
44,ARMSTRONG
45,ARUBA
46,ASA PESADA
47,ASTORIA
48,ASUR
49,ATCO
50,ATLANTIC NICARAGUA
51,ATLANTIS CANADA
52,AUDI AIR
53,AURORA AIR
54,AUSA
55,AUSTRALIA
56,AUSTRIA
57,AVEMEX
58,AVIANCA
59,AVINOR
60,AVIOQUINTANA
61,AZERBAIJAN
62,AZIMUT
63,BAHAMAS
64,BAHRAIN
65,BANGLADESH
66,BARBADOS
67,BELARUS
68,BELGIUM
69,BELIZE
70,BENIN
71,BERMUDA
72,BHUTAN
73,BOLIVIA
74,BOSNIA AND HERZEGOVINA
75,BOTSWANA
76,BRAZIL
77,BRITISH VIRGIN ISLANDS
78,BRUNEI
79,BULGARIA
80,BURKINA FASO
81,BURMA
82,BURUNDI
83,CAMBODIA
84,CAMEROON
85,CANADA
86,CANADIAN TERRITORIES
87,CAPE VERDE
88,CAYMAN ISLANDS
89,CENTRAL AFRICAN REPUBLIC
90,CHAD
91,CHILE
92,CHINA
93,COLOMBIA
94,COMOROS
95,COMPANY AS
96,CONGO (BRAZZAVILLE)
97,CONGO (KINSHASA)
98,COOK ISLANDS
99,COSTA RICA
100,COTE D'IVOIRE
101,CROATIA
102,CUBA
103,CYPRUS
104,CZECH REPUBLIC
105,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA
106,DEMOCRATIC REPUBLIC OF CONGO
107,DEMOCRATIC REPUBLIC OF THE CONGO
108,DENMARK
109,DJIBOUTI
110,DOMINICAN REPUBLIC
111,DRAGON
112,ECUADOR
113,EGYPT
114,EL SALVADOR
115,EQUATORIAL GUINEA
116,ERITREA
117,ESTONIA
118,ETHIOPIA
119,FAROE ISLANDS
120,FIJI
121,FINLAND
122,FRANCE
123,FRENCH GUIANA
124,FRENCH POLYNESIA
125,GABON
126,GAMBIA
127,GEORGIA
128,GERMANY
129,GHANA
130,GREECE
131,GUADELOUPE
132,GUATEMALA
133,GUINEA
134,GUINEA-BISSAU
135,GUYANA
136,HAITI
137,HONDURAS
138,HONG KONG
139,HONG KONG SAR OF CHINA
140,HUNGARY
141,ICELAND
142,INDIA
143,INDONESIA
144,IRAN
145,IRAQ
146,IRELAND
147,ISRAEL
148,ITALY
149,IVORY COAST
150,JAMAICA
151,JAPAN
152,JORDAN
153,KAZAKHSTAN
154,KENYA
155,KIRIBATI
156,KUWAIT
157,KYRGYZSTAN
158,LAO PEOPLES DEMOCRATIC REPUBLIC
159,LAP
160,LATVIA
161,LEBANON
162,LIBERIA
163,LIBYA
164,LITHUANIA
165,LUXEMBOURG
166,MACAO
167,MACEDONIA
168,MADAGASCAR
169,MALAWI
170,MALAYSIA
171,MALDIVES
172,MALI
173,MALTA
174,MARSHALL ISLANDS
175,MAURITANIA
176,MAURITIUS
177,MEXICO
178,MOLDOVA
179,MONACO
180,MONGOLIA
181,MONTENEGRO
